SEQ_ID,Castration-resistent_Met,Castration-resistent_nonMet,Met,Newly_diagnosed,Normal_male_controls,PSA-recurrent_nonMet
1_HSPA1A_3303,22,8,11,7,8,24
10_RPS28_6234,0,0,0,0,1,0
100_AKAP17A_8227,11,4,9,8,5,19
1000_H2AFY_9555,9,5,3,4,2,12
1001_ITPK1_3705,10,2,3,5,4,10
1002_PTPN11_5781,14,10,7,8,5,20
1003_EIF3J_8669,15,6,4,6,8,16
1004_TRIP12_9320,25,9,11,12,11,31
1006_YEATS2_55689,35,14,15,17,17,45
1007_SEL1L3_23231,19,7,10,8,6,21
1008_IDH1_3417,18,7,7,6,8,17
1009_TMEM85_51234,1,0,0,2,1,2
101_HSPH1_10808,31,10,15,14,13,33
1010_LDLR_3949,16,2,4,5,6,17
1011_FAM129B_64855,19,5,6,8,7,21
1012_MAP3K5_4217,28,10,12,15,10,32
1013_NEFH_4744,28,9,13,11,15,35
1014_RAP1B_5908,8,2,0,2,3,6
1015_MCCC1_56922,15,5,6,2,8,15
1017_MT1E_4493,0,0,0,0,0,0
1018_KRT8_3856,18,3,6,10,6,23
1019_PEA15_8682,2,1,0,3,0,5
102_LAPTM4A_9741,8,0,2,2,4,6
1020_NDUFA3_4696,2,1,2,2,3,10
1022_TXNDC5_81567,13,4,5,5,3,8
1023_STRA13_201254,3,1,0,0,0,0
1024_NPEPPS_9520,21,5,11,10,10,21
1025_YIPF6_286451,0,0,1,2,2,2
1026_CLIP1_6249,28,7,12,16,11,32
1027_SRSF7_6432,8,0,1,4,2,3
1028_UBE2Z_65264,13,2,6,6,5,18
1029_MRPL53_116540,4,0,1,0,1,3
103_RPS25_6230,4,2,3,3,2,3
1030_ABHD11_83451,6,2,0,3,5,13
1031_SOCS7_30837,16,7,7,8,10,20
1032_C1orf9_51430,25,8,11,10,9,34
1033_PCBD1_5092,2,2,1,5,3,5
1034_OCIAD2_132299,1,0,0,1,0,2
1035_RAB35_11021,4,2,3,2,2,4
1036_WWC1_23286,22,10,11,10,9,27
1037_SUZ12_23512,18,9,9,14,12,34
1038_ZNHIT1_10467,0,4,2,1,3,4
1039_ABAT_18,14,5,6,5,6,15
104_RPL23_9349,7,5,4,5,4,4
1040_DIAPH1_1729,26,9,12,14,13,30
1041_MLL_4297,32,14,14,16,16,43
1042_PTP4A2_8073,8,3,4,3,3,8
1043_LEPROT_54741,17,7,8,8,7,23
1044_ZFP36L2_678,19,3,3,8,9,21
1045_STRBP_55342,23,7,9,9,11,34
1046_SRRT_51593,26,9,11,16,12,27
1047_C4orf34_201895,1,1,0,0,0,1
1048_TSPYL4_23270,8,2,2,2,2,7
1049_ABLIM1_3983,21,9,5,7,8,22
105_HIST2H2AA4_723790,4,1,2,0,0,4
1050_PRCP_5547,18,3,2,6,4,10
1051_TRA2B_6434,13,4,5,5,6,14
1052_ARL6IP4_51329,15,9,9,7,7,22
1053_FAM127A_8933,2,1,0,0,2,2
1054_GLOD4_51031,11,3,6,5,5,16
1055_KIAA0146_23514,19,6,8,10,6,22
1056_KIAA0355_9710,27,4,7,13,13,32
1057_SRRM1_10250,19,9,6,10,8,20
1058_SLC25A3_5250,5,0,3,4,3,4
1059_NEMF_9147,29,11,12,16,14,30
106_RPLP2_6181,4,1,3,2,1,2
1060_CNP_1267,16,2,3,10,4,18
1061_GMNN_51053,12,0,6,5,4,18
1062_BCLAF1_9774,18,5,8,8,10,20
1063_ITGAV_3685,22,10,9,10,10,20
1064_TMEM184B_25829,8,1,2,2,1,9
1065_COX5A_9377,7,1,1,3,4,11
1066_PDPK1_5170,11,1,2,6,7,10
1067_C12orf57_113246,0,1,2,0,0,2
1068_NDUFAB1_4706,4,1,3,1,1,12
1069_PTRH2_51651,0,0,2,1,1,2
107_RPS27_6232,0,0,1,0,0,3
1070_MGST1_4257,8,2,3,5,3,11
1071_NRBP2_340371,6,5,4,2,1,14
1072_CTSB_1508,13,2,6,7,7,13
1073_GLTSCR1_29998,33,11,13,15,15,40
1074_LTA4H_4048,20,8,9,12,11,25
1075_WIPI2_26100,13,2,3,0,4,10
1076_TANC1_85461,33,11,12,12,14,36
1077_NPM1_4869,9,1,2,2,3,9
1078_EEF1G_1937,7,2,4,4,5,5
1079_IST1_9798,8,2,6,2,4,9
108_RPS12_6206,4,0,2,2,3,4
1080_IRX4_50805,13,1,6,3,5,21
1081_DDX3Y_8653,22,4,10,9,8,22
1082_MCM7_4176,21,6,7,5,7,24
1083_LAMC1_3915,31,11,10,14,9,32
1084_RAB10_10890,2,0,2,3,4,3
1085_FAM117B_150864,26,7,8,11,14,34
1086_RBPJ_3516,18,4,4,7,9,20
1087_GORASP2_26003,14,2,9,6,3,10
1088_PPIA_5478,6,0,4,2,3,8
109_PPAP2A_8611,3,0,1,2,0,2
1090_TSPYL5_85453,12,5,2,5,4,10
1091_RBBP6_5930,0,0,0,1,1,0
1092_B2M_567,0,1,0,0,0,5
1093_EIF1AX_1964,8,2,4,6,3,10
1094_IMPA1_3612,8,2,4,6,3,8
1095_NDUFA7_4701,4,0,2,1,0,0
1096_ANKHD1_54882,33,13,14,17,13,33
1097_CCDC28A_25901,11,4,3,3,3,18
1098_ARGLU1_55082,9,1,6,4,2,15
1099_WDR90_197335,16,5,8,7,5,20
11_MGC10814_84757,12,2,4,0,8,14
110_AMD1_262,6,1,1,4,3,8
1100_KIAA0494_9813,15,9,6,11,5,22
1101_ID1_3397,1,0,3,4,1,7
1102_BRD1_23774,23,6,6,11,9,24
1103_USO1_8615,15,9,9,13,15,29
1104_CHMP3_51652,5,0,3,1,0,8
1105_SGK1_6446,24,6,14,9,12,22
1106_SLC22A23_63027,15,3,7,7,10,14
1107_ACAT1_38,20,4,10,7,7,17
1108_CUX1_1523,32,13,13,13,14,36
1109_PSMB6_5694,5,0,4,2,3,5
111_GDF15_9518,2,2,1,1,0,4
1110_PGK1_5230,19,5,7,8,6,21
1111_KLF6_1316,2,3,2,3,3,5
1112_TGOLN2_10618,8,2,5,5,2,6
1113_PTPLB_201562,6,1,0,2,3,8
1114_STAG3L1_54441,3,0,2,0,0,3
1115_ZNF350_59348,12,4,4,7,6,15
1116_CDKN1C_1028,11,2,5,5,5,14
1117_C1orf122_127687,5,4,4,3,6,12
1118_SNHG12_85028,1,1,0,2,2,0
1119_TMEM42_131616,5,0,2,1,4,3
112_RPL19_6143,6,1,3,3,2,6
1120_LAPTM4B_55353,5,3,2,1,1,5
1121_RPL22L1_200916,4,2,1,2,2,12
1122_NFIL3_4783,16,3,7,6,13,20
1123_H2AFV_94239,2,1,0,0,0,2
1124_TIMM13_26517,1,1,0,1,0,5
1125_IGF2_3481,5,0,0,1,1,3
1126_RAD23B_5887,24,8,7,8,10,33
1127_IGF1R_3480,28,8,11,10,11,26
