seq_id,uniprot_id,protein_names,gene_names,length,function_cc,subcellular_location_cc,tissue_specificity,involvement_in_disease,doug_name,nucleus,cytoplasm,mitochondria,er,golgi,lysosome,secreted,endosome,plasma_membrane,junction,peroxisome,membrane,cilium,cytoskeleton,lnc_rna,ribosomal,transcription_factor,gene_symbol,entrez_gene_id_pete,uni_gene_id_pete,ensembl_id_pete,tigrid_pete,go_pete,description_pete,genomic_coordinates_pete,cytoband_pete,gene_name_pete,pete_list
344_SEPT9_10801,Q9UHD8,septin-9 (mll septin-like fusion protein msf-a) (mll septin-like fusion protein) (ovarian/breast septin) (ov/br septin) (septin d1),SEPTIN9 KIAA0991 MSF SEPT9,586,"function: filament-forming cytoskeletal gtpase (by similarity). may play a role in cytokinesis (potential). may play a role in the internalization of 2 intracellular microbial pathogens, listeria monocytogenes and shigella flexneri. {eco:0000250, eco:0000305}.","subcellular location: cytoplasm, cytoskeleton {eco:0000269|pubmed:17546647, eco:0000269|pubmed:17922164}. note=in an epithelial cell line, concentrates at cell-cell contact areas. after tgf-beta1 treatment and induction of epithelial to mesenchymal transition, colocalizes partly with actin stress fibers. during bacterial infection, displays a collar shape structure next to actin at the pole of invading bacteria.","TISSUE SPECIFICITY: Widely expressed. Isoforms are differentially expressed in testes, kidney, liver heart, spleen, brain, peripheral blood leukocytes, skeletal muscle and kidney. Specific isoforms appear to demonstrate tissue specificity. Isoform 5 is the most highly expressed in fetal tissue. Isoform 1 is detected in all tissues except the brain and thymus, while isoform 2, isoform 3, and isoform 4 are detected at low levels in approximately half of the fetal tissues. {ECO:0000269|PubMed:10339604, ECO:0000269|PubMed:10673329, ECO:0000269|PubMed:11593400, ECO:0000269|PubMed:15915442}.","DISEASE: Note=A chromosomal aberration involving SEPTIN9/MSF is found in therapy-related acute myeloid leukemia (t-AML). Translocation t(11;17)(q23;q25) with KMT2A/MLL1. {ECO:0000269|PubMed:10339604}.; DISEASE: Hereditary neuralgic amyotrophy (HNA) [MIM:162100]: Autosomal dominant form of recurrent focal neuropathy characterized clinically by acute, recurrent episodes of brachial plexus neuropathy with muscle weakness and atrophy preceded by severe pain in the affected arm. HNA is triggered by environmental factors such as infection or parturition. {ECO:0000269|PubMed:16186812, ECO:0000269|PubMed:17546647, ECO:0000269|PubMed:18492087, ECO:0000269|PubMed:19451530}. Note=The disease is caused by mutations affecting the gene represented in this entry.",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,SEPTIN9,10801,NA,NA,NA,NA,NA,NA,NA,NA,NA
797_MARCH6_10299,O60337,e3 ubiquitin-protein ligase march6 (ec 2.3.2.27) (doa10 homolog) (membrane-associated ring finger protein 6) (membrane-associated ring-ch protein vi) (march-vi) (protein teb-4) (ring finger protein 176) (ring-type e3 ubiquitin transferase march6),MARCH6 KIAA0597 RNF176 TEB4,910,"function: e3 ubiquitin-protein ligase that promotes 'lys-48'-linked ubiquitination of target proteins, leading to their proteasomal degradation (pubmed:15673284). promotes ubiquitination of dio2, leading to its degradation (pubmed:19651899). promotes ubiquitination of sqle, leading to its degradation (pubmed:24449766). e3 ubiquitin ligases accept ubiquitin from an e2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfer the ubiquitin to targeted substrates. may cooperate with ube2g1 (pubmed:15673284). {eco:0000269|pubmed:15673284, eco:0000269|pubmed:19651899, eco:0000269|pubmed:24449766}.",subcellular location: endoplasmic reticulum membrane {eco:0000269|pubmed:15673284}; multi-pass membrane protein {eco:0000269|pubmed:15673284}.,TISSUE SPECIFICITY: Present in brain (at protein level). {ECO:0000269|PubMed:15673284}.,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,MARCHF6,10299,NA,NA,NA,NA,NA,NA,NA,NA,NA
960_SEPT2_4735,Q15019,septin-2 (neural precursor cell expressed developmentally down-regulated protein 5) (nedd-5),SEPTIN2 DIFF6 KIAA0158 NEDD5 SEPT2,361,"function: filament-forming cytoskeletal gtpase. forms a filamentous structure with septin12, septin6, septin2 and probably septin4 at the sperm annulus which is required for the structural integrity and motility of the sperm tail during postmeiotic differentiation (pubmed:25588830). required for normal organization of the actin cytoskeleton. plays a role in the biogenesis of polarized columnar-shaped epithelium by maintaining polyglutamylated microtubules, thus facilitating efficient vesicle transport, and by impeding map4 binding to tubulin. required for the progression through mitosis. forms a scaffold at the midplane of the mitotic splindle required to maintain cenpe localization at kinetochores and consequently chromosome congression. during anaphase, may be required for chromosome segregation and spindle elongation. plays a role in ciliogenesis and collective cell movements. in cilia, required for the integrity of the diffusion barrier at the base of the primary cilium that prevents diffusion of transmembrane proteins between the cilia and plasma membranes: probably acts by regulating the assembly of the tectonic-like complex (also named b9 complex) by localizing tmem231 protein. may play a role in the internalization of 2 intracellular microbial pathogens, listeria monocytogenes and shigella flexneri. {eco:0000269|pubmed:15774761, eco:0000269|pubmed:17803907, eco:0000269|pubmed:18209106, eco:0000269|pubmed:19145258, eco:0000305|pubmed:25588830}.","subcellular location: cytoplasm {eco:0000269|pubmed:15774761}. cytoplasm, cytoskeleton {eco:0000269|pubmed:15774761}. cytoplasm, cytoskeleton, spindle {eco:0000269|pubmed:15774761}. chromosome, centromere, kinetochore {eco:0000269|pubmed:15774761}. cleavage furrow {eco:0000269|pubmed:15774761}. midbody {eco:0000269|pubmed:15774761}. cytoplasm, cell cortex {eco:0000269|pubmed:15774761}. cell projection, cilium membrane {eco:0000250}. cell projection, cilium, flagellum {eco:0000269|pubmed:25588830}. note=in metaphase cells, localized within the microtubule spindle. at the metaphase plate, in close apposition to the kinetochores of the congressed chromosomes. in cells undergoing cytokinesis, localized to the midbody, the ingressing cleavage furrow, and the central spindle. during bacterial infection, displays a collar shape structure next to actin at the pole of invading bacteria. in epithelial cells, colocalizes with polyglutamylated tubulin around the trans-golgi network, as well as juxatnuclear and proximal golgi apparatus. localizes at the base of the cilia near the morphological distinction between the cilia and plasma membranes. found in the sperm annulus (pubmed:25588830). {eco:0000269|pubmed:25588830}.","TISSUE SPECIFICITY: Widely expressed. Up-regulated in liver cancer. {ECO:0000269|PubMed:15915442, ECO:0000269|PubMed:19165576}.",NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,SEPTIN2,4735,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT12,P19388,"dna-directed rna polymerases i, ii, and iii subunit rpabc1 (rna polymerases i, ii, and iii subunit abc1) (dna-directed rna polymerase ii 23 kda polypeptide) (dna-directed rna polymerase ii subunit e) (rpb5 homolog) (xap4)",POLR2E,210,subcellular location: nucleus {eco:0000269|pubmed:9852112}.,NA,NA,NA,polymerase (RNA) II (DNA directed) polypeptide E (POLR2E),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,POL2RE,5434,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT14,Q9NZN5,rho guanine nucleotide exchange factor 12 (leukemia-associated rhogef),ARHGEF12 KIAA0382 LARG,1544,subcellular location: cytoplasm {eco:0000305}. membrane {eco:0000305}. note=translocated to the membrane upon stimulation. {eco:0000305}.,tissue specificity: ubiquitously expressed. isoform 2 is found in jejunum and testis.,DISEASE: Note=A chromosomal aberration involving ARHGEF12 may be a cause of acute leukemia. Translocation t(11;11)(q23;23) with KMT2A/MLL1. {ECO:0000269|PubMed:10681437}.,NA,Rho guanine nucleotide exchange factor 12 (ARHGEF12),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ARHGEF12,23365,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT2,P35609,alpha-actinin-2 (alpha-actinin skeletal muscle isoform 2) (f-actin cross-linking protein),ACTN2,894,"subcellular location: cytoplasm, myofibril, sarcomere, z line {eco:0000269|pubmed:11171996, eco:0000269|pubmed:19932097}. note=colocalizes with myoz1 and flnc at the z-lines of skeletal muscle.",tissue specificity: expressed in both skeletal and cardiac muscle.,"DISEASE: Cardiomyopathy, familial hypertrophic 23, with or without left ventricular non-compaction (CMH23) [MIM:612158]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:20022194, ECO:0000269|PubMed:25173926}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated 1AA, with or without left ventricular non-compaction (CMD1AA) [MIM:612158]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:14567970, ECO:0000269|PubMed:25224718}. Note=The disease is caused by mutations affecting the gene represented in this entry.",NA,actinin alpha 2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ACTN2,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT20,Q9UNZ2,nsfl1 cofactor p47 (ubx domain-containing protein 2c) (p97 cofactor p47),NSFL1C UBXN2C,370,"subcellular location: nucleus {eco:0000250|uniprotkb:o35987}. golgi apparatus, golgi stack {eco:0000250|uniprotkb:o35987}. chromosome {eco:0000250|uniprotkb:o35987}. cytoplasm, cytoskeleton, microtubule organizing center, centrosome {eco:0000250|uniprotkb:o35987}. note=predominantly nuclear in interphase cells. bound to the axial elements of sex chromosomes in pachytene spermatocytes. a small proportion of the protein is cytoplasmic, associated with golgi stacks. localizes to centrosome during mitotic prophase and metaphase. {eco:0000250|uniprotkb:o35987}.",NA,NA,NA,NSFL1 (p97) cofactor (p47) NSFL1C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NSFL1C,55968,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT26,P35749,"myosin-11 (myosin heavy chain 11) (myosin heavy chain, smooth muscle isoform) (smmhc)",MYH11 KIAA0866,1972,subcellular location: melanosome {eco:0000269|pubmed:17081065}. note=identified by mass spectrometry in melanosome fractions from stage i to stage iv. thick filaments of the myofibrils.,"tissue specificity: smooth muscle; expressed in the umbilical artery, bladder, esophagus and trachea. isoform 1 is mostly found in slowly contracting tonic muscles. {eco:0000269|pubmed:16000639}.","DISEASE: Note=A chromosomal aberration involving MYH11 is found in acute myeloid leukemia of M4EO subtype. Pericentric inversion inv(16)(p13;q22). The inversion produces a fusion protein consisting of the 165 N-terminal residues of CBF-beta (PEPB2) and the tail region of MYH11.; DISEASE: Aortic aneurysm, familial thoracic 4 (AAT4) [MIM:132900]: A disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as 'medial necrosis' or 'Erdheim cystic medial necrosis' in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance. {ECO:0000269|PubMed:16444274}. Note=The disease is caused by mutations affecting the gene represented in this entry.",NA,Myosin heavy chain 11 (MYH11),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MYH11,4629,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT28,A0A024R7P5,"similar to laminin receptor 1, isoform cra_a",LOC388524 hCG_20807,199,subcellular location: cytoplasm {eco:0000256|saas:saas01080644}.,NA,NA,NA,Similar to lamanin receptor 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,RPSAP58,388524,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADT3,Q99743,neuronal pas domain-containing protein 2 (neuronal pas2) (basic-helix-loop-helix-pas protein mop4) (class e basic helix-loop-helix protein 9) (bhlhe9) (member of pas protein 4) (pas domain-containing protein 4),NPAS2 BHLHE9 MOP4 PASD4,824,"subcellular location: nucleus {eco:0000255|prosite-prorule:pru00981, eco:0000269|pubmed:14645221}.",NA,NA,NA,neuronal PAS domain protein 2 (NPAS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NPAS2,4862,NA,NA,NA,NA,NA,NA,NA,NA,NA
